seqid	start	end	strand	gene_id	description
Chr1	192447	194989	-	Sdiv_ptg000014l_0048-R	Similar to At1g01540: Probable serine/threonine-protein kinase At1g01540 (Arabidopsis thaliana)
Chr1	196573	197662	+	Sdiv_ptg000014l_0049-R	Similar to AGL28: Agamous-like MADS-box protein AGL28 (Arabidopsis thaliana)
Chr1	198459	201220	-	Sdiv_ptg000014l_0050-R	Similar to AN: C-terminal binding protein AN (Arabidopsis thaliana)
Chr1	201916	203473	-	Sdiv_ptg000014l_0051-R	Similar to At1g01500: Uncharacterized protein At1g01500 (Arabidopsis thaliana)
Chr1	205446	206656	+	Sdiv_ptg000014l_0052-R	Protein of unknown function
Chr1	205820	207583	+	Sdiv_ptg000014l_0053-R	Similar to HIPP39: Heavy metal-associated isoprenylated plant protein 39 (Arabidopsis thaliana)
Chr1	209646	209828	-	Sdiv_ptg000014l_0054-R	Similar to ACS2: 1-aminocyclopropane-1-carboxylate synthase 2 (Arabidopsis thaliana)
Chr1	216180	217413	+	Sdiv_ptg000014l_0055-R	Similar to LEA14: Probable desiccation-related protein LEA14 (Arabidopsis thaliana)
Chr1	218354	218815	+	Sdiv_ptg000014l_0056-R	Protein of unknown function
Chr1	235901	237922	-	Sdiv_ptg000014l_0057-R	Similar to PIP5K10: Phosphatidylinositol 4-phosphate 5-kinase 10 (Arabidopsis thaliana)
Chr1	239408	243344	+	Sdiv_ptg000014l_0058-R	Similar to EDR4: Protein ENHANCED DISEASE RESISTANCE 4 (Arabidopsis thaliana)
Chr1	244605	245189	-	Sdiv_ptg000014l_0059-R	Similar to ETC1: MYB-like transcription factor ETC1 (Arabidopsis thaliana)
Chr1	247202	250530	-	Sdiv_ptg000014l_0060-R	Similar to PYL9: Abscisic acid receptor PYL9 (Arabidopsis thaliana)
Chr1	252857	254757	-	Sdiv_ptg000014l_0061-R	Similar to At1g01350: Zinc finger CCCH domain-containing protein 1 (Arabidopsis thaliana)
Chr1	254757	258548	+	Sdiv_ptg000014l_0062-R	Similar to CNGC10: Probable cyclic nucleotide-gated ion channel 10 (Arabidopsis thaliana)
Chr1	260183	269833	+	Sdiv_ptg000014l_0063-R	Similar to REC1: Protein REDUCED CHLOROPLAST COVERAGE 1 (Arabidopsis thaliana)
Chr1	273904	275269	-	Sdiv_ptg000014l_0064-R	Protein of unknown function
Chr1	275984	277827	-	Sdiv_ptg000014l_0065-R	Similar to CYP703A2: Cytochrome P450 703A2 (Arabidopsis thaliana)
Chr1	277892	280940	-	Sdiv_ptg000014l_0066-R	Similar to MTB1: Transcription factor MTB1 (Solanum lycopersicum)
Chr1	285007	285567	+	Sdiv_ptg000014l_0067-R	Similar to ERF023: Ethylene-responsive transcription factor ERF023 (Arabidopsis thaliana)
Chr1	288949	293471	-	Sdiv_ptg000014l_0068-R	Similar to Ormdl3: ORM1-like protein 3 (Mus musculus)
Chr1	293941	296704	-	Sdiv_ptg000014l_0069-R	Similar to tfs: Transcription factor S (Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16))
Chr1	297694	299359	+	Sdiv_ptg000014l_0070-R	Similar to RABA3: Ras-related protein RABA3 (Arabidopsis thaliana)
Chr1	301846	303485	+	Sdiv_ptg000014l_0071-R	Similar to CYP78A6: Cytochrome P450 78A6 (Arabidopsis thaliana)
Chr1	310625	312223	-	Sdiv_ptg000014l_0072-R	Similar to GIF2: GRF1-interacting factor 2 (Arabidopsis thaliana)
Chr1	316183	319592	+	Sdiv_ptg000014l_0073-R	Similar to CIPK9: CBL-interacting serine/threonine-protein kinase 9 (Arabidopsis thaliana)
Chr1	326801	329815	-	Sdiv_ptg000014l_0074-R	Similar to IQD18: Protein IQ-DOMAIN 18 (Arabidopsis thaliana)
Chr1	331010	332283	+	Sdiv_ptg000014l_0075-R	Similar to RPP1C: 60S acidic ribosomal protein P1-3 (Arabidopsis thaliana)
Chr1	332641	334533	+	Sdiv_ptg000014l_0076-R	Similar to PDH-E1 ALPHA: Pyruvate dehydrogenase E1 component subunit alpha-3%2C chloroplastic (Arabidopsis thaliana)
Chr1	340986	352737	+	Sdiv_ptg000014l_0077-R	Similar to At1g01070: WAT1-related protein At1g01070 (Arabidopsis thaliana)
Chr1	355760	359624	+	Sdiv_ptg000014l_0078-R	Similar to LHY: Protein LHY (Arabidopsis thaliana)
Chr1	361083	363656	+	Sdiv_ptg000014l_0079-R	Similar to PPA1: Soluble inorganic pyrophosphatase 1 (Arabidopsis thaliana)
Chr1	363098	371344	-	Sdiv_ptg000014l_0080-R	Similar to DCL1: Endoribonuclease Dicer homolog 1 (Arabidopsis thaliana)
Chr1	387970	390191	+	Sdiv_ptg000014l_0081-R	Similar to ARV1: Protein ARV 1 (Arabidopsis thaliana)
Chr1	390573	392793	-	Sdiv_ptg000014l_0082-R	Similar to NAC001: NAC domain-containing protein 1 (Arabidopsis thaliana)
Chr1	396174	398008	-	Sdiv_ptg000014l_0083-R	Similar to LSI2: Silicon efflux transporter LSI2 (Oryza sativa subsp. japonica)
Chr1	398677	401974	-	Sdiv_ptg000014l_0084-R	Similar to At1g02270: Uncharacterized calcium-binding protein At1g02270 (Arabidopsis thaliana)
Chr1	404582	408495	-	Sdiv_ptg000014l_0085-R	Similar to TOC33: Translocase of chloroplast 33%2C chloroplastic (Arabidopsis thaliana)
Chr1	409059	411947	+	Sdiv_ptg000014l_0086-R	Similar to CATHB2: Cathepsin B-like protease 2 (Arabidopsis thaliana)
Chr1	411688	415925	-	Sdiv_ptg000014l_0087-R	Similar to MAN1: Mannan endo-1%2C4-beta-mannosidase 1 (Arabidopsis thaliana)
Chr1	418745	420756	-	Sdiv_ptg000014l_0088-R	Similar to HFR1: Transcription factor HFR1 (Arabidopsis thaliana)
Chr1	423583	426630	+	Sdiv_ptg000014l_0089-R	Similar to PPOX1: Protoporphyrinogen oxidase 1%2C chloroplastic (Arabidopsis thaliana)
Chr1	426428	426937	-	Sdiv_ptg000014l_0090-R	Protein of unknown function
Chr1	427500	428649	-	Sdiv_ptg000014l_0091-R	Similar to Cht10: Chitinase 10 (Oryza sativa subsp. japonica)
Chr1	430132	432053	+	Sdiv_ptg000014l_0092-R	Similar to At1g02370: Pentatricopeptide repeat-containing protein At1g02370%2C mitochondrial (Arabidopsis thaliana)
Chr1	436455	439063	+	Sdiv_ptg000014l_0093-R	Similar to GA2OX6: Gibberellin 2-beta-dioxygenase 6 (Arabidopsis thaliana)
Chr1	440860	443025	+	Sdiv_ptg000014l_0094-R	Similar to COX11: Cytochrome c oxidase assembly protein COX11%2C mitochondrial (Arabidopsis thaliana)
Chr1	444278	445750	+	Sdiv_ptg000014l_0095-R	Similar to At1g02420: Putative pentatricopeptide repeat-containing protein At1g02420 (Arabidopsis thaliana)
Chr1	445774	447593	-	Sdiv_ptg000014l_0096-R	Similar to NIMIN-1: Protein NIM1-INTERACTING 1 (Arabidopsis thaliana)
Chr1	453406	455813	-	Sdiv_ptg000014l_0097-R	Similar to At1g48100: Polygalacturonase At1g48100 (Arabidopsis thaliana)
Chr1	460389	461779	-	Sdiv_ptg000014l_0098-R	Protein of unknown function
Chr1	461962	463679	-	Sdiv_ptg000014l_0099-R	Protein of unknown function
Chr1	468243	473148	+	Sdiv_ptg000014l_0100-R	Similar to ABCB11: ABC transporter B family member 11 (Arabidopsis thaliana)
Chr1	474073	476229	+	Sdiv_ptg000014l_0101-R	Similar to CLPP5: ATP-dependent Clp protease proteolytic subunit 5%2C chloroplastic (Arabidopsis thaliana)
Chr1	478907	482551	-	Sdiv_ptg000014l_0102-R	Similar to Marchf9: E3 ubiquitin-protein ligase MARCHF9 (Mus musculus)
Chr1	484690	486283	+	Sdiv_ptg000014l_0103-R	Similar to SAR1A: GTP-binding protein SAR1A (Arabidopsis thaliana)
Chr1	489189	490757	-	Sdiv_ptg000014l_0104-R	Similar to ETN8: Equilibrative nucleotide transporter 8 (Arabidopsis thaliana)
Chr1	492606	496165	+	Sdiv_ptg000014l_0105-R	Similar to BXL2: Probable beta-D-xylosidase 2 (Arabidopsis thaliana)
Chr1	497612	500752	-	Sdiv_ptg000014l_0106-R	Similar to PLIP2: Phospholipase A1 PLIP2%2C chloroplastic (Arabidopsis thaliana)
Chr1	502229	502585	+	Sdiv_ptg000014l_0107-R	Protein of unknown function
Chr1	502631	503588	+	Sdiv_ptg000014l_0108-R	Similar to TAF13: Transcription initiation factor TFIID subunit 13 (Arabidopsis thaliana)
Chr1	504097	504579	-	Sdiv_ptg000014l_0109-R	Protein of unknown function
Chr1	508088	509184	+	Sdiv_ptg000014l_0110-R	Protein of unknown function
Chr1	514795	516485	-	Sdiv_ptg000014l_0111-R	Similar to RPL19B: 60S ribosomal protein L19-2 (Arabidopsis thaliana)
Chr1	517408	519374	-	Sdiv_ptg000014l_0112-R	Similar to PGA3: Exopolygalacturonase clone GBGE184 (Arabidopsis thaliana)
Chr1	522401	524411	+	Sdiv_ptg000014l_0113-R	Similar to PME7: Probable pectinesterase/pectinesterase inhibitor 7 (Arabidopsis thaliana)
Chr1	524834	525280	+	Sdiv_ptg000014l_0114-R	Protein of unknown function
Chr1	528216	530479	+	Sdiv_ptg000014l_0115-R	Similar to BAH1: E3 ubiquitin-protein ligase BAH1 (Arabidopsis thaliana)
Chr1	530310	531351	-	Sdiv_ptg000014l_0116-R	Similar to nop16: Nucleolar protein 16 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
Chr1	531686	533505	-	Sdiv_ptg000014l_0117-R	Similar to P23-1: Co-chaperone protein p23-1 (Arabidopsis thaliana)
Chr1	533687	535695	-	Sdiv_ptg000014l_0118-R	Similar to RPN11: 26S proteasome non-ATPase regulatory subunit 14 homolog (Arabidopsis thaliana)
Chr1	536055	538033	-	Sdiv_ptg000014l_0119-R	Similar to TPK1: Thiamine pyrophosphokinase 1 (Arabidopsis thaliana)
Chr1	538911	545691	-	Sdiv_ptg000014l_0120-R	Similar to Atad1: Outer mitochondrial transmembrane helix translocase (Rattus norvegicus)
Chr1	547317	547779	-	Sdiv_ptg000014l_0121-R	Similar to RALF1: Protein RALF-like 1 (Arabidopsis thaliana)
Chr1	548903	551730	-	Sdiv_ptg000014l_0122-R	Similar to LPA1: Protein LOW PSII ACCUMULATION 1%2C chloroplastic (Arabidopsis thaliana)
Chr1	552167	553575	-	Sdiv_ptg000014l_0123-R	Similar to GSTF5: Glutathione S-transferase F5 (Arabidopsis thaliana)
Chr1	556327	559534	+	Sdiv_ptg000014l_0124-R	Similar to WEE1: Wee1-like protein kinase (Arabidopsis thaliana)
Chr1	564011	575082	-	Sdiv_ptg000014l_0125-R	Similar to PEX6: Peroxisome biogenesis protein 6 (Arabidopsis thaliana)
Chr1	576371	579350	+	Sdiv_ptg000014l_0126-R	Similar to At1g03010: BTB/POZ domain-containing protein At1g03010 (Arabidopsis thaliana)
Chr1	584490	586970	-	Sdiv_ptg000014l_0127-R	Similar to BHLH7: Transcription factor bHLH7 (Arabidopsis thaliana)
Chr1	588445	590491	+	Sdiv_ptg000014l_0128-R	Similar to At1g03050: Putative clathrin assembly protein At1g03050 (Arabidopsis thaliana)
Chr1	590626	592518	-	Sdiv_ptg000014l_0129-R	Similar to D27: Beta-carotene isomerase D27%2C chloroplastic (Arabidopsis thaliana)
Chr1	593574	608230	-	Sdiv_ptg000014l_0130-R	Similar to SPI: Protein SPIRRIG (Arabidopsis thaliana)
Chr1	611434	612786	+	Sdiv_ptg000014l_0131-R	Similar to LFG4: Protein LIFEGUARD 4 (Arabidopsis thaliana)
Chr1	612914	618509	-	Sdiv_ptg000014l_0132-R	Similar to NET1D: Protein NETWORKED 1D (Arabidopsis thaliana)
Chr1	618558	619456	-	Sdiv_ptg000014l_0133-R	Protein of unknown function
Chr1	621385	627271	+	Sdiv_ptg000014l_0134-R	Similar to MCCA: Methylcrotonoyl-CoA carboxylase subunit alpha%2C mitochondrial (Arabidopsis thaliana)
Chr1	629287	630067	+	Sdiv_ptg000014l_0135-R	Similar to LTPG19: Non-specific lipid transfer protein GPI-anchored 19 (Arabidopsis thaliana)
Chr1	630887	635437	+	Sdiv_ptg000014l_0136-R	Similar to Wdr4: tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4 (Mus musculus)
Chr1	633558	635370	-	Sdiv_ptg000014l_0137-R	Similar to Prpf18: Pre-mRNA-splicing factor 18 (Mus musculus)
Chr1	998303	1000237	+	Sdiv_ptg000014l_0138-R	Similar to FZL: Probable transmembrane GTPase FZO-like%2C chloroplastic (Arabidopsis thaliana)
Chr1	1000324	1004026	+	Sdiv_ptg000014l_0139-R	Similar to FZL: Probable transmembrane GTPase FZO-like%2C chloroplastic (Arabidopsis thaliana)
Chr1	1009908	1012254	+	Sdiv_ptg000014l_0140-R	Protein of unknown function
Chr1	1012267	1016954	+	Sdiv_ptg000014l_0141-R	Similar to XPD: General transcription and DNA repair factor IIH helicase subunit XPD (Arabidopsis thaliana)
Chr1	1016369	1018165	-	Sdiv_ptg000014l_0142-R	Similar to GIP2: Probable aspartic proteinase GIP2 (Nicotiana benthamiana)
Chr1	1019709	1021216	-	Sdiv_ptg000014l_0143-R	Similar to BH0283: Uncharacterized isomerase BH0283 (Halalkalibacterium halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125))
Chr1	1021584	1023279	-	Sdiv_ptg000014l_0144-R	Protein of unknown function
Chr1	1023320	1024621	-	Sdiv_ptg000014l_0145-R	Similar to slr0305: TVP38/TMEM64 family membrane protein slr0305 (Synechocystis sp. (strain PCC 6803 / Kazusa))
Chr1	1024690	1026366	-	Sdiv_ptg000014l_0146-R	Similar to slr0305: TVP38/TMEM64 family membrane protein slr0305 (Synechocystis sp. (strain PCC 6803 / Kazusa))
Chr1	1027528	1035919	+	Sdiv_ptg000014l_0147-R	Similar to CBSDUF4: Putative DUF21 domain-containing protein At1g03270 (Arabidopsis thaliana)
Chr1	1036490	1040155	+	Sdiv_ptg000014l_0148-R	Protein of unknown function
Chr1	1041243	1043876	+	Sdiv_ptg000014l_0149-R	Similar to ISA2: Isoamylase 2%2C chloroplastic (Arabidopsis thaliana)
Chr1	1044183	1044963	+	Sdiv_ptg000014l_0150-R	Protein of unknown function
Chr1	1045404	1046871	-	Sdiv_ptg000014l_0151-R	Similar to LSM2: Sm-like protein LSM2 (Arabidopsis thaliana)
Chr1	1047093	1048716	+	Sdiv_ptg000014l_0152-R	Protein of unknown function
Chr1	1049930	1051276	-	Sdiv_ptg000014l_0153-R	Similar to BSDC1: BSD domain-containing protein 1 (Gallus gallus)
Chr1	1051824	1053897	+	Sdiv_ptg000014l_0154-R	Similar to RRP4: Exosome complex component RRP4 homolog (Arabidopsis thaliana)
Chr1	1055722	1061025	+	Sdiv_ptg000014l_0155-R	Similar to ATG18G: Autophagy-related protein 18g (Arabidopsis thaliana)
Chr1	1061458	1063612	+	Sdiv_ptg000014l_0156-R	Similar to AHP5: Histidine-containing phosphotransfer protein 5 (Arabidopsis thaliana)
Chr1	1067022	1067404	-	Sdiv_ptg000014l_0157-R	Protein of unknown function
Chr1	1068228	1071635	-	Sdiv_ptg000014l_0158-R	Similar to BRN2: RNA-binding protein BRN2 (Arabidopsis thaliana)
Chr1	1074000	1076420	-	Sdiv_ptg000014l_0159-R	Similar to CPX1: Coproporphyrinogen-III oxidase 1%2C chloroplastic (Arabidopsis thaliana)
Chr1	1076838	1082504	-	Sdiv_ptg000014l_0160-R	Similar to GLCAT14B: Beta-glucuronosyltransferase GlcAT14B (Arabidopsis thaliana)
Chr1	1083475	1085443	-	Sdiv_ptg000014l_0161-R	Similar to SCAMP2: Secretory carrier-associated membrane protein 2 (Arabidopsis thaliana)
Chr1	1088581	1090476	-	Sdiv_ptg000014l_0162-R	Similar to PPC6-6: Probable protein phosphatase 2C 1 (Arabidopsis thaliana)
Chr1	1092330	1092857	+	Sdiv_ptg000014l_0163-R	Similar to PSB27-1: Photosystem II repair protein PSB27-H1%2C chloroplastic (Arabidopsis thaliana)
Chr1	1093770	1095676	+	Sdiv_ptg000014l_0164-R	Protein of unknown function
Chr1	1096517	1098324	-	Sdiv_ptg000014l_0165-R	Similar to elmoA: ELMO domain-containing protein A (Dictyostelium discoideum)
Chr1	1099701	1101799	+	Sdiv_ptg000014l_0166-R	Similar to PORC: Protochlorophyllide reductase C%2C chloroplastic (Arabidopsis thaliana)
Chr1	1102184	1103919	-	Sdiv_ptg000014l_0167-R	Similar to At1g03680: Thioredoxin M1%2C chloroplastic (Arabidopsis thaliana)
Chr1	1105297	1105982	+	Sdiv_ptg000014l_0168-R	Similar to ARALYDRAFT_470341: CASP-like protein 1C2 (Arabidopsis lyrata subsp. lyrata)
Chr1	1108409	1109604	+	Sdiv_ptg000014l_0169-R	Protein of unknown function
Chr1	1110048	1110614	-	Sdiv_ptg000014l_0170-R	Similar to Ctsc: Dipeptidyl peptidase 1 (Mus musculus)
Chr1	1111890	1112402	-	Sdiv_ptg000014l_0171-R	Protein of unknown function
Chr1	1113423	1116895	+	Sdiv_ptg000014l_0172-R	Similar to At1g54610: Probable serine/threonine-protein kinase At1g54610 (Arabidopsis thaliana)
Chr1	1117958	1120336	-	Sdiv_ptg000014l_0173-R	Similar to rmp: RNA polymerase II subunit 5-mediating protein homolog (Dictyostelium discoideum)
Chr1	1121092	1124342	+	Sdiv_ptg000014l_0174-R	Similar to RING1B: Putative E3 ubiquitin-protein ligase RING1b (Arabidopsis thaliana)
Chr1	1123389	1128790	-	Sdiv_ptg000014l_0175-R	Similar to TPX2: Protein TPX2 (Arabidopsis thaliana)
Chr1	1130919	1133321	+	Sdiv_ptg000014l_0176-R	Similar to TZF4: Zinc finger CCCH domain-containing protein 2 (Arabidopsis thaliana)
Chr1	1133377	1134042	-	Sdiv_ptg000014l_0177-R	Protein of unknown function
Chr1	1135142	1140044	-	Sdiv_ptg000014l_0178-R	Similar to GBP6: Guanylate-binding protein 6 (Pongo abelii)
Chr1	1140808	1143170	-	Sdiv_ptg000014l_0179-R	Similar to MGP: Zinc finger protein MAGPIE (Arabidopsis thaliana)
Chr1	1152176	1154477	-	Sdiv_ptg000014l_0180-R	Similar to PHB2: Prohibitin-2%2C mitochondrial (Arabidopsis thaliana)
Chr1	1159259	1161962	+	Sdiv_ptg000014l_0181-R	Similar to CRB: 12S seed storage protein CRB (Arabidopsis thaliana)
Chr1	1163183	1164848	+	Sdiv_ptg000014l_0182-R	Similar to CRD: 12S seed storage protein CRD (Arabidopsis thaliana)
Chr1	1165031	1168074	-	Sdiv_ptg000014l_0183-R	Similar to At1g65660: Pre-mRNA-splicing factor SLU7-A (Arabidopsis thaliana)
Chr1	1168327	1176104	+	Sdiv_ptg000014l_0184-R	Similar to CTN: Cactin (Arabidopsis thaliana)
Chr1	1177391	1180314	+	Sdiv_ptg000014l_0185-R	Similar to STK38L: Serine/threonine-protein kinase 38-like (Homo sapiens)
Chr1	1181722	1184895	-	Sdiv_ptg000014l_0186-R	Similar to PCS2: Glutathione gamma-glutamylcysteinyltransferase 2 (Arabidopsis thaliana)
Chr1	1185746	1186627	-	Sdiv_ptg000014l_0187-R	Similar to RIC8: CRIB domain-containing protein RIC8 (Arabidopsis thaliana)
Chr1	1188806	1189252	+	Sdiv_ptg000014l_0188-R	Similar to FAO1: Long-chain-alcohol oxidase FAO1 (Arabidopsis thaliana)
Chr1	1189379	1189857	-	Sdiv_ptg000014l_0189-R	Protein of unknown function
Chr1	1189794	1191110	+	Sdiv_ptg000014l_0190-R	Similar to FAO1: Long-chain-alcohol oxidase FAO1 (Arabidopsis thaliana)
Chr1	1191007	1191347	-	Sdiv_ptg000014l_0191-R	Protein of unknown function
Chr1	1192264	1192710	-	Sdiv_ptg000014l_0192-R	Protein of unknown function
Chr1	1194696	1199817	-	Sdiv_ptg000014l_0193-R	Similar to PSAT: Phospholipid--sterol O-acyltransferase (Arabidopsis thaliana)
Chr1	1200306	1205495	+	Sdiv_ptg000014l_0194-R	Similar to BARD1: BRCA1-associated RING domain protein 1 (Arabidopsis thaliana)
Chr1	1205184	1207072	-	Sdiv_ptg000014l_0195-R	Similar to APS1: Acid phosphatase 1 (Solanum lycopersicum)
Chr1	1209062	1214614	+	Sdiv_ptg000014l_0196-R	Similar to PRP39-1: Pre-mRNA-processing factor 39-1 (Arabidopsis thaliana)
Chr1	1215136	1217164	+	Sdiv_ptg000014l_0197-R	Similar to At1g04090: Hypothetical protein At1g04090 (Arabidopsis thaliana)
Chr1	1217763	1219428	+	Sdiv_ptg000014l_0198-R	Similar to IAA10: Auxin-responsive protein IAA10 (Arabidopsis thaliana)
Chr1	1223961	1229921	-	Sdiv_ptg000014l_0199-R	Similar to ABCC5: ABC transporter C family member 5 (Arabidopsis thaliana)
Chr1	1233171	1235895	+	Sdiv_ptg000014l_0200-R	Similar to ttc4: Tetratricopeptide repeat protein 4 homolog (Dictyostelium discoideum)
Chr1	1235690	1241097	-	Sdiv_ptg000014l_0201-R	Similar to Ambra1: Activating molecule in BECN1-regulated autophagy protein 1 (Mus musculus)
Chr1	1249171	1260814	+	Sdiv_ptg000014l_0202-R	Similar to XI-2: Myosin-6 (Arabidopsis thaliana)
Chr1	1260824	1263473	+	Sdiv_ptg000014l_0203-R	Similar to Eif2s3y: Eukaryotic translation initiation factor 2 subunit 3%2C Y-linked (Rattus norvegicus)
Chr1	1262672	1262937	-	Sdiv_ptg000014l_0204-R	Protein of unknown function
